EXCHANGE,SYMBOL,QUOTE,PAIR,ORDERQTY,MAXQTYTOBUY
BINANCE,MATIC,USDT,MATIC/USDT,225,900
BINANCE,VET,USDT,VET/USDT,850,3400
BINANCE,ONE,USDT,ONE/USDT,1450,5800
BINANCE,INJ,USDT,INJ/USDT,11.5,46
BINANCE,CELR,USDT,CELR/USDT,2500,10000
BINANCE,CAKE,USDT,CAKE/USDT,5.5,22
BINANCE,CHZ,USDT,CHZ/USDT,275,1100
BINANCE,AVAX,USDT,AVAX/USDT,4,16
BINANCE,TLM,USDT,TLM/USDT,250,1000
BINANCE,ZIL,USDT,ZIL/USDT,750,3000
BINANCE,FIS,USDT,FIS/USDT,70,280
BINANCE,FIRO,USDT,FIRO/USDT,12.5,50
BINANCE,BTT,USDT,BTT/USDT,20000,80000